RWrist_X,RWrist_Y,frame_number,frame_peaks,pid,sample_id
238.108,111.813,284,0,P10_A,3
238.144,105.537,285,0,P10_A,3
236.861,96.8484,286,0,P10_A,3
235.697,95.5061,287,0,P10_A,3
235.638,89.3199,288,0,P10_A,3
235.644,85.5691,289,0,P10_A,3
235.62,84.2784,290,0,P10_A,3
235.613,83.0494,291,0,P10_A,3
234.419,79.2968,292,0,P10_A,3
234.402,78.0465,293,0,P10_A,3
234.404,76.787,294,0,P10_A,3
234.382,75.6068,295,0,P10_A,3
234.433,75.5251,296,0,P10_A,3
235.597,74.28,297,0,P10_A,3
234.418,73.0013,298,0,P10_A,3
234.374,69.2962,299,0,P10_A,3
233.151,65.5508,300,0,P10_A,3
234.37,65.561,301,0,P10_A,3
234.344,66.7641,302,0,P10_A,3
234.34,65.5952,303,0,P10_A,3
234.345,66.791,304,0,P10_A,3
234.38,66.8319,305,0,P10_A,3
234.368,68.0616,306,0,P10_A,3
234.427,69.3108,307,0,P10_A,3
234.422,70.5509,308,0,P10_A,3
234.429,73.0225,309,0,P10_A,3
234.413,74.2395,310,0,P10_A,3
234.413,74.3236,311,0,P10_A,3
234.389,75.575,312,0,P10_A,3
234.392,76.8038,313,0,P10_A,3
234.408,79.3141,314,0,P10_A,3
234.42,83.0339,315,0,P10_A,3
235.571,84.335,316,0,P10_A,3
235.591,86.8384,317,0,P10_A,3
235.59,94.2689,318,0,P10_A,3
235.616,95.6166,319,0,P10_A,3
235.629,104.236,320,0,P10_A,3
235.64,106.795,321,0,P10_A,3
235.604,113.076,322,0,P10_A,3
235.678,118.053,323,0,P10_A,3
235.661,124.267,324,0,P10_A,3
235.7,126.796,325,0,P10_A,3
235.673,130.58,326,0,P10_A,3
235.665,134.367,327,0,P10_A,3
235.663,136.816,328,0,P10_A,3
235.629,140.583,329,0,P10_A,3
235.627,144.265,330,0,P10_A,3
235.639,144.34,331,0,P10_A,3
235.616,145.551,332,0,P10_A,3
235.649,145.633,333,0,P10_A,3
235.646,146.818,334,0,P10_A,3
235.655,146.87,335,0,P10_A,3
235.653,146.874,336,0,P10_A,3
235.684,148.065,337,0,P10_A,3
235.664,146.868,338,0,P10_A,3
235.634,148.059,339,1,P10_A,4
235.609,146.873,340,0,P10_A,4
234.424,149.351,341,0,P10_A,4
234.389,151.816,342,0,P10_A,4
234.334,150.564,343,0,P10_A,4
234.315,149.343,344,0,P10_A,4
233.136,149.316,345,0,P10_A,4
233.137,149.354,346,0,P10_A,4
233.152,149.323,347,0,P10_A,4
231.855,145.6,348,0,P10_A,4
230.634,140.597,349,0,P10_A,4
230.636,136.872,350,0,P10_A,4
231.894,135.616,351,0,P10_A,4
230.626,134.264,352,0,P10_A,4
233.114,128.057,353,0,P10_A,4
234.336,125.554,354,0,P10_A,4
233.135,121.829,355,0,P10_A,4
234.403,115.578,356,0,P10_A,4
235.68,106.794,357,0,P10_A,4
236.883,100.554,358,0,P10_A,4
236.898,93.0617,359,0,P10_A,4
239.364,85.5408,360,0,P10_A,4
236.899,78.0533,361,0,P10_A,4
235.691,75.5414,362,0,P10_A,4
235.691,73.0449,363,0,P10_A,4
235.593,70.5592,364,0,P10_A,4
234.335,71.7945,365,0,P10_A,4
234.318,69.2876,366,0,P10_A,4
234.326,66.8316,367,0,P10_A,4
234.329,66.8317,368,0,P10_A,4
234.36,66.8196,369,0,P10_A,4
234.349,66.7856,370,0,P10_A,4
234.4,68.0689,371,0,P10_A,4
234.361,69.2837,372,0,P10_A,4
234.39,68.066,373,0,P10_A,4
234.387,69.2952,374,0,P10_A,4
234.394,70.5534,375,0,P10_A,4
234.404,71.8,376,0,P10_A,4
235.589,69.3059,377,0,P10_A,4
235.615,71.7721,378,0,P10_A,4
235.581,74.2334,379,0,P10_A,4
235.61,75.5366,380,0,P10_A,4
235.592,79.2728,381,0,P10_A,4
234.423,84.2863,382,0,P10_A,4
235.601,85.5749,383,0,P10_A,4
235.623,93.0583,384,0,P10_A,4
235.604,95.5677,385,0,P10_A,4
234.424,101.782,386,0,P10_A,4
235.614,105.544,387,0,P10_A,4
234.382,109.29,388,0,P10_A,4
234.349,114.323,389,0,P10_A,4
235.58,118.087,390,0,P10_A,4
234.429,124.328,391,0,P10_A,4
234.431,126.842,392,0,P10_A,4
234.427,130.555,393,0,P10_A,4
235.589,135.527,394,0,P10_A,4
235.621,139.31,395,0,P10_A,4
234.409,141.796,396,0,P10_A,4
234.426,143.064,397,0,P10_A,4
235.58,144.351,398,0,P10_A,4
234.434,145.559,399,0,P10_A,4
234.42,145.625,400,0,P10_A,4
234.429,146.826,401,0,P10_A,4
234.402,146.855,402,0,P10_A,4
234.387,146.858,403,0,P10_A,4
234.392,146.87,404,1,P10_A,5
234.393,146.862,405,0,P10_A,5
234.391,146.857,406,0,P10_A,5
234.4,146.834,407,0,P10_A,5
234.421,146.834,408,0,P10_A,5
235.583,146.825,409,0,P10_A,5
235.641,145.551,410,0,P10_A,5
235.659,144.343,411,0,P10_A,5
235.67,141.847,412,0,P10_A,5
236.89,139.318,413,0,P10_A,5
236.887,134.356,414,0,P10_A,5
236.903,130.571,415,0,P10_A,5
236.894,125.573,416,0,P10_A,5
236.911,121.808,417,0,P10_A,5
236.916,115.595,418,0,P10_A,5
235.697,111.78,419,0,P10_A,5
236.874,105.604,420,0,P10_A,5
235.701,104.251,421,0,P10_A,5
235.666,96.824,422,0,P10_A,5
235.691,94.3162,423,0,P10_A,5
235.678,88.0793,424,0,P10_A,5
235.696,85.5348,425,0,P10_A,5
236.853,83.0397,426,0,P10_A,5
236.881,78.0608,427,0,P10_A,5
235.68,75.5066,428,0,P10_A,5
235.665,73.0554,429,0,P10_A,5
235.668,71.7802,430,0,P10_A,5
235.596,66.7803,431,0,P10_A,5
234.382,65.5867,432,0,P10_A,5
234.356,65.5452,433,0,P10_A,5
234.332,65.53,434,0,P10_A,5
233.103,65.5921,435,0,P10_A,5
233.147,65.5872,436,0,P10_A,5
234.33,66.7834,437,0,P10_A,5
234.342,68.0379,438,0,P10_A,5
234.357,71.8079,439,0,P10_A,5
234.356,71.784,440,0,P10_A,5
234.352,73.0169,441,0,P10_A,5
234.359,73.0072,442,0,P10_A,5
234.355,70.546,443,0,P10_A,5
234.348,70.5465,444,0,P10_A,5
234.331,70.5449,445,0,P10_A,5
234.321,73.0512,446,0,P10_A,5
234.356,75.5479,447,0,P10_A,5
234.322,76.7898,448,0,P10_A,5
234.359,84.2466,449,0,P10_A,5
234.367,86.7872,450,0,P10_A,5
234.387,94.3188,451,0,P10_A,5
234.362,96.8118,452,0,P10_A,5
235.609,105.526,453,0,P10_A,5
234.327,106.823,454,0,P10_A,5
234.399,115.536,455,0,P10_A,5
234.388,118.077,456,0,P10_A,5
234.404,125.538,457,0,P10_A,5
234.434,128.053,458,0,P10_A,5
234.425,131.827,459,0,P10_A,5
235.594,135.577,460,0,P10_A,5
235.576,139.351,461,0,P10_A,5
234.408,141.83,462,0,P10_A,5
234.399,144.326,463,0,P10_A,5
234.374,145.577,464,0,P10_A,5
234.352,148.076,465,0,P10_A,5
234.365,149.344,466,0,P10_A,5
234.375,149.337,467,0,P10_A,5
234.377,150.562,468,0,P10_A,5
234.378,149.353,469,0,P10_A,5
234.409,151.803,470,0,P10_A,5
234.409,150.601,471,0,P10_A,5
234.399,151.825,472,0,P10_A,5
234.394,151.815,473,0,P10_A,5
234.393,151.824,474,1,P10_A,6
234.394,151.818,475,0,P10_A,6
234.391,151.824,476,0,P10_A,6
234.384,151.804,477,0,P10_A,6
234.361,150.566,478,0,P10_A,6
234.371,149.335,479,0,P10_A,6
234.342,148.08,480,0,P10_A,6
234.344,146.871,481,0,P10_A,6
234.308,149.342,482,0,P10_A,6
233.092,148.089,483,0,P10_A,6
231.874,145.623,484,0,P10_A,6
233.083,145.566,485,0,P10_A,6
233.082,140.557,486,0,P10_A,6
233.093,135.622,487,0,P10_A,6
233.126,133.05,488,0,P10_A,6
231.874,125.549,489,0,P10_A,6
234.331,121.791,490,0,P10_A,6
234.362,115.517,491,0,P10_A,6
235.575,105.596,492,0,P10_A,6
235.67,95.6078,493,0,P10_A,6
236.873,88.039,494,0,P10_A,6
236.891,80.5552,495,0,P10_A,6
236.917,75.5051,496,0,P10_A,6
236.859,74.2903,497,0,P10_A,6
235.578,69.31,498,0,P10_A,6
233.142,74.2909,499,0,P10_A,6
234.369,65.4998,500,0,P10_A,6
234.367,65.4956,501,0,P10_A,6
234.364,65.5155,502,0,P10_A,6
234.366,65.515,503,0,P10_A,6
234.359,65.5531,504,0,P10_A,6
234.379,65.5461,505,0,P10_A,6
234.399,65.5663,506,0,P10_A,6
234.4,65.5962,507,0,P10_A,6
234.402,68.0314,508,0,P10_A,6
235.582,69.2767,509,0,P10_A,6
234.42,73.0037,510,0,P10_A,6
235.59,74.341,511,0,P10_A,6
234.426,75.5059,512,0,P10_A,6
234.396,78.0678,513,0,P10_A,6
234.428,83.0681,514,0,P10_A,6
235.597,86.7878,515,0,P10_A,6
235.658,94.2646,516,0,P10_A,6
235.625,95.5447,517,0,P10_A,6
235.576,98.0693,518,0,P10_A,6
234.409,104.333,519,0,P10_A,6
234.396,106.844,520,0,P10_A,6
234.375,114.261,521,0,P10_A,6
235.577,116.82,522,0,P10_A,6
234.43,123.044,523,0,P10_A,6
235.578,125.555,524,0,P10_A,6
235.576,128.089,525,0,P10_A,6
234.426,134.3,526,0,P10_A,6
234.431,136.83,527,0,P10_A,6
234.418,141.81,528,0,P10_A,6
234.434,144.291,529,0,P10_A,6
234.434,145.598,530,0,P10_A,6
234.42,146.841,531,0,P10_A,6
234.417,148.068,532,0,P10_A,6
234.415,148.072,533,0,P10_A,6
234.419,148.065,534,0,P10_A,6
234.421,148.067,535,1,P10_A,7
234.405,146.819,536,0,P10_A,7
234.407,146.819,537,0,P10_A,7
234.423,146.827,538,0,P10_A,7
235.591,145.632,539,0,P10_A,7
235.639,145.592,540,0,P10_A,7
235.649,144.31,541,0,P10_A,7
235.688,143.068,542,0,P10_A,7
236.886,139.305,543,0,P10_A,7
236.897,135.55,544,0,P10_A,7
238.127,131.823,545,0,P10_A,7
236.931,126.835,546,0,P10_A,7
238.123,123.04,547,0,P10_A,7
238.117,115.602,548,0,P10_A,7
236.901,110.555,549,0,P10_A,7
239.371,105.584,550,0,P10_A,7
236.931,101.786,551,0,P10_A,7
238.13,95.5508,552,0,P10_A,7
238.138,90.5687,553,0,P10_A,7
239.385,85.5393,554,0,P10_A,7
238.13,80.5533,555,0,P10_A,7
239.389,75.5297,556,0,P10_A,7
238.152,74.2478,557,0,P10_A,7
238.144,73.0419,558,0,P10_A,7
236.895,70.5501,559,0,P10_A,7
234.379,70.5267,560,0,P10_A,7
233.132,73.0365,561,0,P10_A,7
233.14,66.8125,562,0,P10_A,7
233.139,66.778,563,0,P10_A,7
233.141,66.7804,564,0,P10_A,7
234.308,66.7705,565,0,P10_A,7
233.139,68.0456,566,0,P10_A,7
234.309,68.0569,567,0,P10_A,7
233.147,71.7759,568,0,P10_A,7
233.136,71.7727,569,0,P10_A,7
233.122,73.0534,570,0,P10_A,7
234.343,70.5549,571,0,P10_A,7
234.32,73.0412,572,0,P10_A,7
233.149,74.272,573,0,P10_A,7
233.106,73.0548,574,0,P10_A,7
233.134,74.2427,575,0,P10_A,7
234.312,75.4963,576,0,P10_A,7
233.106,76.8158,577,0,P10_A,7
233.132,83.0666,578,0,P10_A,7
234.357,85.5902,579,0,P10_A,7
234.388,91.7809,580,0,P10_A,7
234.428,94.3492,581,0,P10_A,7
234.435,98.0514,582,0,P10_A,7
235.595,105.513,583,0,P10_A,7
234.425,108.065,584,0,P10_A,7
235.573,114.31,585,0,P10_A,7
235.571,118.095,586,0,P10_A,7
235.575,124.329,587,0,P10_A,7
235.585,125.565,588,0,P10_A,7
235.592,128.067,589,0,P10_A,7
235.595,133.083,590,0,P10_A,7
235.63,135.555,591,0,P10_A,7
235.604,136.828,592,0,P10_A,7
235.599,141.806,593,0,P10_A,7
235.597,144.299,594,0,P10_A,7
235.576,144.375,595,0,P10_A,7
234.42,146.827,596,0,P10_A,7
234.415,149.333,597,0,P10_A,7
234.421,148.089,598,0,P10_A,7
234.426,148.092,599,0,P10_A,7
234.42,146.868,600,0,P10_A,7
234.412,146.874,601,0,P10_A,7
234.434,146.837,602,0,P10_A,7
234.433,146.834,603,0,P10_A,7
234.434,146.852,604,0,P10_A,7
234.428,148.085,605,0,P10_A,7
234.401,150.572,606,0,P10_A,7
234.349,150.578,607,1,P10_A,8
234.359,151.812,608,0,P10_A,8
234.342,150.595,609,0,P10_A,8
234.307,148.067,610,0,P10_A,8
233.086,149.321,611,0,P10_A,8
