Nose_X,Nose_Y,Nose_prob,Neck_X,Neck_Y,Neck_prob,RShoulder_X,RShoulder_Y,RShoulder_prob,RElbow_X,RElbow_Y,RElbow_prob,RWrist_X,RWrist_Y,RWrist_prob,LShoulder_X,LShoulder_Y,LShoulder_prob,LElbow_X,LElbow_Y,LElbow_prob,LWrist_X,LWrist_Y,LWrist_prob,MidHip_X,MidHip_Y,MidHip_prob,RHip_X,RHip_Y,RHip_prob,RKnee_X,RKnee_Y,RKnee_prob,RAnkle_X,RAnkle_Y,RAnkle_prob,LHip_X,LHip_Y,LHip_prob,LKnee_X,LKnee_Y,LKnee_prob,LAnkle_X,LAnkle_Y,LAnkle_prob,REye_X,REye_Y,REye_prob,LEye_X,LEye_Y,LEye_prob,REar_X,REar_Y,REar_prob,LEar_X,LEar_Y,LEar_prob,LBigToe_X,LBigToe_Y,LBigToe_prob,LSmallToe_X,LSmallToe_Y,LSmallToe_prob,LHeel_X,LHeel_Y,LHeel_prob,RBigToe_X,RBigToe_Y,RBigToe_prob,RSmallToe_X,RSmallToe_Y,RSmallToe_prob,RHeel_X,RHeel_Y,RHeel_prob
0,0,0,176.855,121.811,0.857372,204.343,123.034,0.84312,235.688,164.288,0.892671,224.35,128.068,0.8242,154.272,120.574,0.811556,123.02,158.112,0.810688,128.05,129.337,0.775162,179.341,214.327,0.633669,195.639,213.109,0.677664,204.321,285.61,0.822539,205.603,354.439,0.842095,163.063,214.352,0.630446,161.809,284.411,0.746933,163.039,354.424,0.807826,0,0,0,0,0,0,191.868,94.2559,0.828842,165.646,93.0475,0.892275,150.574,354.387,0.545032,148.074,355.656,0.698831,164.341,363.195,0.826718,204.338,354.441,0.572784,211.857,355.687,0.574195,205.593,363.19,0.830007
0,0,0,178.103,121.801,0.830116,204.402,121.826,0.843973,236.862,161.852,0.867205,224.341,126.831,0.839487,154.291,120.576,0.807547,120.55,156.847,0.806367,128.066,126.802,0.79936,179.363,214.329,0.633809,195.651,213.116,0.676406,204.333,285.648,0.836849,205.603,354.434,0.842909,163.081,214.351,0.636438,161.815,284.411,0.756124,163.042,354.427,0.809838,0,0,0,0,0,0,191.856,94.2691,0.828785,165.646,93.0408,0.886187,149.357,354.388,0.549804,148.065,355.659,0.70389,164.347,363.198,0.827787,204.346,354.451,0.577804,211.86,355.696,0.578921,205.586,363.183,0.827381
0,0,0,178.108,121.805,0.832494,204.404,123.028,0.845101,236.878,159.325,0.841622,224.389,126.809,0.842521,154.294,120.579,0.80134,116.791,155.581,0.874532,128.052,124.357,0.827067,180.599,214.354,0.649754,195.672,214.336,0.687585,204.348,285.699,0.82275,205.608,354.428,0.839845,164.27,214.373,0.651176,161.835,284.415,0.771147,161.857,354.404,0.804265,0,0,0,0,0,0,193.117,94.2542,0.82398,166.871,93.0268,0.864998,149.341,353.198,0.558352,146.863,354.473,0.717437,164.345,363.176,0.825599,204.361,354.418,0.579924,213.071,355.674,0.583597,205.59,363.184,0.82927
0,0,0,179.337,121.798,0.82541,205.605,123.052,0.852098,240.614,156.86,0.829911,224.424,125.527,0.863311,154.276,120.574,0.802308,115.542,155.539,0.900166,128.059,124.27,0.801021,180.591,214.332,0.646955,195.666,213.127,0.68602,204.355,285.7,0.829001,205.607,354.422,0.837986,163.111,214.352,0.65099,161.849,284.355,0.75501,163.036,354.418,0.809642,0,0,0,0,0,0,193.128,94.2772,0.824977,166.88,93.0495,0.868692,149.343,353.206,0.557717,146.864,354.48,0.716181,164.351,363.186,0.829585,204.368,354.421,0.572149,213.078,355.677,0.580488,205.588,363.182,0.827874
0,0,0,179.331,120.54,0.823503,205.563,121.81,0.84438,240.644,155.551,0.863137,224.408,121.81,0.850137,153.1,120.565,0.80036,115.532,153.103,0.859255,129.342,120.56,0.779734,180.604,214.382,0.655944,195.677,214.368,0.694298,204.374,288.143,0.813927,205.603,354.42,0.840449,164.274,214.395,0.657703,161.854,284.393,0.769399,163.034,354.417,0.808285,0,0,0,0,0,0,193.12,93.07,0.790331,166.887,93.0057,0.840414,149.345,353.207,0.554792,146.868,354.479,0.712305,164.343,363.19,0.830029,204.379,354.438,0.569629,213.087,355.694,0.585978,205.579,363.177,0.829148
0,0,0,178.119,119.306,0.825428,205.602,120.588,0.836226,243.104,154.276,0.85168,225.59,119.305,0.832915,153.091,119.305,0.807701,114.359,150.598,0.827163,129.333,116.82,0.797522,180.583,214.358,0.652917,195.671,214.345,0.691855,204.377,286.902,0.830316,205.609,354.424,0.840126,163.096,214.379,0.651787,161.859,284.419,0.775111,163.034,354.418,0.808613,0,0,0,0,0,0,194.288,93.0665,0.798468,168.075,93.0049,0.838973,149.35,353.205,0.553628,146.871,354.479,0.711566,164.34,363.19,0.829682,204.382,354.444,0.576642,213.084,355.7,0.5908,205.581,363.179,0.828723
0,0,0,176.896,118.087,0.840611,205.631,119.33,0.833134,243.15,148.062,0.846939,225.571,115.574,0.856238,151.832,119.31,0.783356,114.247,146.806,0.852082,126.863,115.522,0.840999,180.602,214.343,0.657003,195.677,214.331,0.690665,204.39,286.913,0.82859,205.616,354.434,0.84219,164.27,214.36,0.667421,161.855,284.404,0.77189,163.035,354.415,0.804614,0,0,0,0,0,0,194.327,94.2591,0.84869,168.092,93.0235,0.85445,149.336,353.209,0.558309,146.86,354.481,0.715494,164.346,363.189,0.827954,204.357,354.431,0.57838,213.07,355.685,0.576339,205.593,363.196,0.832879
0,0,0,180.574,118.08,0.82404,206.86,119.305,0.841727,244.316,145.546,0.906616,224.413,113.061,0.827032,154.268,118.079,0.816836,113.016,144.268,0.863249,125.627,114.262,0.866075,181.823,214.369,0.65852,196.844,214.363,0.691713,204.398,286.888,0.836027,205.612,354.43,0.843193,164.296,214.38,0.673312,163.033,285.637,0.779617,163.038,354.418,0.806265,0,0,0,0,0,0,194.348,93.0615,0.81063,168.094,91.803,0.837831,149.348,353.207,0.555623,146.871,354.481,0.710982,164.342,363.193,0.829625,204.361,354.421,0.58403,211.88,355.675,0.581428,205.589,363.192,0.833475
0,0,0,180.612,118.072,0.83052,205.67,120.551,0.837528,244.349,141.81,0.867166,224.411,105.619,0.855932,154.319,118.048,0.844581,108.05,140.58,0.827942,125.586,111.79,0.826311,181.833,214.38,0.655983,196.844,214.382,0.690075,204.407,288.136,0.83042,205.614,354.44,0.845084,164.307,214.381,0.673009,163.049,285.661,0.795481,163.038,354.421,0.805634,0,0,0,0,0,0,194.354,93.0763,0.854255,168.094,91.8013,0.835106,150.573,353.203,0.544336,148.07,354.479,0.701287,164.329,363.199,0.82783,204.362,354.454,0.586399,211.879,355.705,0.585967,205.586,363.202,0.841691
0,0,0,180.597,119.297,0.817744,206.858,120.584,0.826698,244.431,136.802,0.909582,225.591,104.356,0.884679,154.309,116.867,0.839306,106.849,135.566,0.879863,125.575,105.55,0.873804,181.831,214.379,0.646281,196.848,214.376,0.680027,204.406,286.922,0.840955,205.615,354.455,0.850407,164.302,214.381,0.665732,163.064,285.634,0.801206,163.046,354.429,0.805885,0,0,0,0,0,0,194.37,91.8193,0.873615,168.097,90.5455,0.836536,151.824,354.399,0.5309,149.313,355.665,0.678082,164.333,363.21,0.835125,204.371,354.458,0.574874,213.075,355.714,0.579985,205.59,363.22,0.84419
0,0,0,179.366,119.306,0.818554,205.659,121.799,0.835526,244.419,134.328,0.940536,224.405,98.0543,0.862218,154.286,118.06,0.823551,105.611,133.027,0.875368,125.554,103.058,0.874778,181.851,214.353,0.646349,196.866,214.349,0.673869,204.404,285.682,0.858998,205.618,354.451,0.848001,164.321,214.358,0.67029,163.078,285.617,0.816496,163.047,354.426,0.809224,0,0,0,0,0,0,194.375,91.7949,0.856572,168.096,90.5496,0.835289,150.586,353.212,0.532438,148.083,354.486,0.684751,164.334,363.208,0.834347,204.381,354.452,0.581168,213.076,355.709,0.585046,205.589,363.221,0.842732
0,0,0,180.583,118.07,0.82763,206.877,120.582,0.80465,245.616,128.056,0.858152,225.599,95.5654,0.893791,153.069,116.83,0.80932,105.564,125.639,0.908771,124.329,99.3155,0.858064,181.862,214.382,0.650608,196.885,214.377,0.667712,204.415,285.713,0.854806,205.612,354.443,0.856079,164.319,214.388,0.669774,163.101,284.416,0.819874,163.047,354.44,0.809538,0,0,0,0,0,0,194.401,91.7719,0.838639,169.362,91.7748,0.832875,150.584,353.204,0.547366,148.082,354.482,0.699185,164.337,364.384,0.840526,204.382,354.43,0.583712,213.077,355.683,0.589362,205.583,363.203,0.840927
0,0,0,179.357,116.836,0.845675,205.655,119.315,0.809331,245.596,124.372,0.922364,225.577,93.0511,0.87426,154.28,115.604,0.84397,105.552,123.074,0.903995,125.584,94.2391,0.879737,181.853,213.124,0.650211,196.88,213.121,0.661106,204.412,286.89,0.84884,205.62,354.43,0.854,164.323,213.125,0.67574,163.098,284.435,0.82005,163.041,354.431,0.80683,0,0,0,0,0,0,194.409,91.7826,0.832161,170.582,90.5396,0.830612,150.57,353.196,0.548795,148.069,354.478,0.705079,164.327,363.213,0.830981,204.364,354.413,0.600026,211.873,355.664,0.592434,205.593,363.184,0.836205
0,0,0,179.337,116.83,0.847152,205.622,119.299,0.821432,244.4,120.546,0.868254,225.622,86.8355,0.862437,154.291,115.602,0.848869,106.828,115.577,0.892031,125.602,86.7815,0.892661,183.059,214.346,0.690412,196.896,213.136,0.673119,204.403,285.68,0.858316,205.618,354.421,0.852114,164.357,214.369,0.698045,163.092,285.635,0.81694,161.859,354.408,0.803805,0,0,0,0,0,0,194.398,93.0248,0.845574,169.357,91.7781,0.832332,149.347,353.185,0.560217,146.867,354.463,0.717197,164.329,363.192,0.831998,204.354,354.417,0.595132,211.866,355.667,0.58571,205.593,363.176,0.83684
0,0,0,179.352,116.81,0.849107,205.636,118.097,0.829191,244.413,115.521,0.949909,225.599,84.3272,0.914242,154.33,115.576,0.859976,108.062,113.066,0.850879,126.801,83.0431,0.84678,183.084,213.094,0.69199,198.129,211.865,0.651451,204.401,285.66,0.861848,205.621,354.423,0.852,164.373,213.133,0.696554,163.097,285.616,0.813695,161.854,354.408,0.804665,0,0,0,0,0,0,194.394,91.8043,0.821072,169.345,90.571,0.830681,149.346,353.187,0.565175,146.868,354.464,0.721642,164.327,363.188,0.831637,204.357,354.419,0.593941,211.867,355.669,0.58498,205.595,363.177,0.836111
0,0,0,179.367,115.629,0.851124,205.664,118.062,0.833949,244.359,113.073,0.928002,225.596,78.0505,0.85771,154.316,115.551,0.864854,106.841,106.837,0.856306,126.825,78.056,0.808373,183.116,214.326,0.716198,199.363,213.093,0.653321,204.406,285.676,0.862436,205.626,354.421,0.852031,165.534,214.372,0.703967,163.099,285.631,0.819866,161.846,354.416,0.80601,0,0,0,0,0,0,194.41,93.0081,0.834133,170.573,90.5677,0.824523,149.348,353.203,0.566665,146.868,354.478,0.720623,164.328,363.192,0.833193,204.333,354.404,0.595952,211.844,354.479,0.577699,205.601,363.174,0.837928
